"Cleaned_value ( ""Value"" column of the OLIS observation is cleaned)",counts,Flag,name,Overall counts: 687707,% missingness over all in all columns) :  79%
not detected,436390,Negative,,,
result viral targets not detected,35635,Negative,,,
negative not detected note testing completed using pcr method,28571,Negative,,,
negative,18562,Negative,,,
detected,12084,Positive,,,
not performed,2185,Unknown,,,
swab nasopharyngeal vtm,828,Unknown,,,
positive,733,Positive,,,
see scanned document,602,Unknown,,,
influenza a b virus detection,595,Positive,flu_a  flu_b,,
this is a duplicate order this test has been cancelled,553,Cancelled,,,
test results received from reference laboratory reference report attached,538,Unknown,,,
p1 fileformat xmlns p1 http www ssha ca pdf p1 fileformat p1 documentsource xmlns p1 http www ssha ca text p1 documentsource,538,Unknown,,,
unable to report please see test note,413,Unknown,,,
critical results,394,Unknown,,,
reference lab report scanned by health records to view report go to the respective emr or pcs pcm webacute application webacute see diagnostic tab s laboratory s scanned reports emr see laboratory section s microbiology section s public health lab report srhc selecting all visits will capture reports on other accounts,296,Unknown,,,
ssr,217,Unknown,,,
the phl influenza report has been scanned by health records to view report go to the emr application select microbiology section s scanned reports tab selecting all visits will capture reports on other accounts,214,Unknown,,,
please refer to respiratory pathogen panel,194,Unknown,,,
not detected by real time pcr,179,Negative,,,
specimen testing performed at kingston health sciences centre 76 stuart street kingston ontario k7l 2v,174,Unknown,,,
this specimen was documented as collected but not received by the microbiology laboratory after 48 hours if this test is still required please place a new order,172,Cancelled,,,
see separate report report will be scanned in emr under laboratory miscellaneous,157,Unknown,,,
this specimen was documented as collected but not received by the microbiology laboratory after 7 days if this test is still required please place a new order,125,Cancelled,,,
this specimen has been tested using a molecular assay which amplifies the detection of influenza a b viral rna by isothermal rt hda this test has 96% sensitivity and specificity,114,Unknown,,,
copy of report sent to prhc ipac on specimen testing performed at kingston health sciences centre 76 stuart street kingston ontario k7l 2v,111,Unknown,,,
invalid,100,Cancelled,,,
see separate report,78,Unknown,,,
cancelled by lab specimen was not received,78,Cancelled,,,
negative results do not preclude influenza virus infection and should not be the sole basis for diagnosis treatment or other patient management decisions,70,Negative,,,
public health ontario laboratory no longer performs influenza testing on outpatients,57,Cancelled,,,
this is a duplicate order this test has been cancelled please refer to test results on identical sample type collected on the same date,53,Cancelled,,,
reference lab report scanned by health records to view the report go to the respective emr or pcs pcm webacute application webacute see diagnostic tab s laboratory s scanned reports emr see laboratory section s scanned reports tab selecting all visits will capture reports on other accounts,51,Unknown,,,
see scanned report,51,Unknown,,,
this procedure will not detect all cases of influenza a or b,51,Cancelled,,,
critical results phoned to and read back by n a,50,Unknown,,,
delete duplicate order,45,Cancelled,,,
indeterminate,43,Unknown,,,
p1 text do not transmit p1 text,43,Unknown,,,
testing is performed by phl laboratories please refer to report received,42,Unknown,,,
see emr laboratory miscellaneous for scanned report,42,Unknown,,,
ordered in error,41,Cancelled,,,
this specimen was documented as collected but not received by the microbiology laboratory after 4 days if this test is still required please place a new order,39,Cancelled,,,
this test is not validated for specimens other than np swabs,39,Unknown,,,
requests for testing of respiratory viruses including influenza a b and or rsv are no longer being performed on outpatients including patients from the emergency department,39,Cancelled,,,
testing is not performed on out patients,38,Cancelled,,,
please refer to respiratory pathogen panel updated report,36,Unknown,,,
this specimen was documented as collected but not received by the microbiology laboratory after 3 days if this test is still required please place a new order,35,Cancelled,,,
aspirate nasopharyngeal,33,Unknown,,,
see phl report scanned in emr final result available under laboratory miscellaneous,26,Unknown,,,
cancelled,25,Cancelled,,,
hence not performed,25,Cancelled,,,
this specimen was documented as collected but not received by the microbiology laboratory after 6 days if this test is still required please place a new order,24,Cancelled,,,
see report scanned in emr final result available under laboratory miscellaneous,23,Unknown,,,
please note this molecular assay has been validated at kingston health sciences centre for diagnostic use,23,Unknown,,,
the phl influenza report has been scanned by health records to view report go to the emr application select microbiology section all visits listed under the date when the image was scanned the appearance of a camera icon indicates that this report is a scanned image of a textual report,23,Unknown,,,
reference lab report scanned by health records to view report go to the respective emr or pcs pcm webacute application webacute see diagnostic tab s microbiology s hsc microbiology reports emr see microbiology section s hsc microbiology report srhc selecting all visits will capture reports on other accounts,22,Unknown,,,
np,21,Cancelled,,,
neg,21,Negative,,,
performed by cepheid genexpert,21,Unknown,,,
this specimen was documented as collected but not received,20,Cancelled,,,
testing is not performed on outpatients,17,Cancelled,,,
please refer to,17,Unknown,,,
please refer to duplicate order in soarian,17,Cancelled,,,
tf,16,Unknown,,,
pos,14,Positive,,,
see emr laboratory miscellaneous,14,Unknown,,,
this specimen was documented as collected but not received by the microbiology laboratory after 5 days if this test is still required please place a new order,13,Cancelled,,,
report will be scanned in emr under laboratory miscellaneous,13,Unknown,,,
ordered in error see vid,12,Cancelled,,,
verbal report given to n a by ruwanthi gunawardena mlt,12,Unknown,,,
covid 19 virus not detected by real time pcr,12,Negative,,,
critical results phoned to and read back by wer na,10,Unknown,,,
critical results phoned to and read back by n a mlt,9,Unknown,,,
no virus isolated,9,Negative,,,
respiratory sample vtm,9,Unknown,,,
this is a duplicate order this test has been cancelled refer to order,9,Cancelled,,,
invalid sample,8,Cancelled,,,
respiratory syncytial virus rsv detection,8,Positive,RSV,,
negative not detected tested by genexpert pcr method specimen testing performed at prhc microbiology 705 743 2121 x3175 1 hospital drive peterborough on,8,Negative,,,
test not performed,7,Cancelled,,,
critical results report faxed to occupational health unit,7,Unknown,,,
critical results phoned to and read back by theodhora time and date by jiji rajan,7,Unknown,,,
m critical results phoned to and read back by n a mlt,7,Unknown,,,
2019 novel coronavirus organism detected by pcr,7,Positive,COVID,,
testing is performed by phl laboratories please refer to report received testing is performed by phl laboratories please refer to report received,7,Unknown,,,
p1 text 2019 novel coronavirus organism p1 text,7,Unknown,COVID,,
please note specimen rejected specimen collected in wrong container medium please refer to the laboratory collection manual and recollect if clinically indicated,7,Cancelled,,,
the phl microbiology report has been scanned by health records to view report go to the emr application select microbiology section s scanned rpt tab selecting all visits will capture reports on other accounts,7,Unknown,,,
test not perform on asymptomatic patient,7,Cancelled,,,
duplicate order,7,Cancelled,,,
please note this molecular assay has been validated at kingston health sciences centre for diagnostic use specimen testing performed at kingston health sciences centre 76 stuart street kingston ontario k7l 2v,7,Unknown,,,
critical results phoned to and read back by na,7,Unknown,,,
a copy of this report has been sent to the medical officer of health kenora northwestern health unit,6,Unknown,,,
this assay was not validated with this viral transport media,6,Cancelled,,,
equivocal,6,Unknown,,,
duplicate order in soarian refer to order,6,Unknown,,,
sent to phl for confirmatory testing outbreak,6,Unknown,,,
please refer to specimen collected on,6,Cancelled,,,
see note,6,Unknown,,,
no specimen received,6,Cancelled,,,
critical results emailed to occ health,6,Unknown,,,
duplicate order please refer to,5,Cancelled,,,
sent to public health for confirmation,5,Unknown,,,
see seperate report,5,Unknown,,,
critical results phoned to and read back by er tl theodora time and date by kathy le mlt,5,Unknown,,,
cancelled sample routine seasonal respiratory virus testing is not available for adult emergency er patients and ambulatory patients of all ages please refer to pho s respiratory viruses test information sheet at www publichealthontario ca labs,5,Cancelled,,,
duplicate order in soarian please refer to,5,Cancelled,,,
phoned to icp csm name sent email phoned to patient location name,5,Unknown,,,
phoned to icp csm name emailed phoned to patient location name,4,Unknown,,,
see order for covid 19 and fluab results,4,Cancelled,,,
please refer to laboratory number collected on,4,Unknown,,,
approved date covid 19 virus envelope gene not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr note this assay is currently validated for use with copan collection kits performance characteristics with other collection kits have not been established at pho laboratory note this real time pcr assay has been validated at public health ontario laboratories and the national microbiology laboratory for clinical use it has not been cleared or approved by health canada this test includes two targets rna dependent rna polymerase rdrp gene and envelope gene e detection of two gene targets is required for laboratory confirmation of covid 19 2019 novel coronavirus disease virus by real time pcr results should be interpreted in the context of the clinical history and other pathological findings copy of results sent to moh test performed at public health laboratory toronto 661 university avenue suite 1701 toronto on m5g 1m,4,Unknown,,,
please see for results,4,Unknown,,,
phoned to icp csm name charlto01s phoned to patient location name,4,Unknown,,,
for results see virus detection below,4,Unknown,,,
