trcode,loinc,virus,virus_type,test_type
TR11665-7,,FLU,Flu A,
,XON12338-0,FLU,Flu A,oth
TR11762-2,,FLU,Flu A,
,19146-0,FLU,Flu A,oth
,XON10388-7,FLU,Flu A,oth
TR11881-0,,FLU,Flu A + Flu B,
,19146-0,FLU,Flu A + Flu B,
,54245-6,FLU,Flu A + Flu B,
,XON10441-4,FLU,Flu A + Flu B,
,XON12904-9,FLU,Flu A + Flu B,
TR11883-6,,FLU,Flu,
,XON10441-4,FLU,Flu,
TR11884-4,,FLU,Flu A,
,19146-0,FLU,Flu A,
TR11888-5,,FLU,Flu B,
,XON10388-7,FLU,Flu B,
TR11889-3,,FLU,Flu ,
,19146-0,FLU,Flu ,
,31208-2,FLU,Flu ,
,664-3,FLU,Flu ,
,XON10312-7,FLU,Flu ,
,XON10441-4,FLU,Flu ,
,XON12338-0,FLU,Flu ,
,XON12722-5,FLU,Flu ,
TR12261-4,,FLU,Flu A + Flu B,pcr
,19146-0,FLU,Flu A + Flu B,pcr
,31208-2,FLU,Flu A + Flu B,pcr
,41461-5,FLU,Flu A + Flu B,pcr
,41852-5,FLU,Flu A + Flu B,pcr
,XON10312-7,FLU,Flu A + Flu B,pcr
,XON10441-4,FLU,Flu A + Flu B,pcr
,XON11922-2,FLU,Flu A + Flu B,pcr
,XON12338-0,FLU,Flu A + Flu B,pcr
,XON12722-5,FLU,Flu A + Flu B,pcr
,XON12904-9,FLU,Flu A + Flu B,pcr
TR12542-7,,FLU,Flu A,
,XON12904-9,FLU,Flu A,
TR12545-0,,FLU,Flu B,
,XON12904-9,FLU,Flu B,
TR12656-5,,FLU,Flu,
,19146-0,FLU,Flu,
TR_ANY, , FLU,Flu,
,22825-4,FLU,Flu A,
,22826-2,FLU,Flu A,
,22827-0,FLU,Flu A,
,24015-0,FLU,Flu A + Flu B,
,31864-2,FLU,Flu B,
,33535-6,FLU,Flu A + Flu B,
,34487-9,FLU,Flu A,
,38382-8,FLU,Flu B,
,39102-9,FLU,Flu A,
,40982-1,FLU,Flu B,
,43837-4,FLU,Flu A,
,43874-7,FLU,Flu A,
,43895-2,FLU,Flu B,
,44263-2,FLU,Flu A,
,44558-5,FLU,Flu A,
,44563-5,FLU,Flu A,
,44567-6,FLU,Flu A + Flu B,
,44577-5,FLU,Flu B,
,46082-4,FLU,Flu A,
,46083-2,FLU,Flu B,
,48310-7,FLU,Flu A,
,48509-4,FLU,Flu A + Flu B,
,49521-8,FLU,Flu A H1,
,49524-2,FLU,Flu A H3,
,49531-7,FLU,Flu A,
,49535-8,FLU,Flu B,
,49537-4,FLU,Flu A + Flu B,
,49538-2,FLU,Flu ,
,53250-7,FLU,Flu A,
,53251-5,FLU,Flu B,
,54240-7,FLU,Flu ,
,54242-3,FLU,Flu ,
,54243-1,FLU,Flu ,
,54244-9,FLU,Flu ,
,55166-7,FLU,Flu A,
,55465-9,FLU,Flu A H1,
,5862-8,FLU,Flu A,
,5866-9,FLU,Flu B,
,60538-6,FLU,Flu A,
,61102-0,FLU,Flu A + Flu B,
,62462-7,FLU,Flu A + Flu B,
,6437-8,FLU,Flu A + Flu B,
,6603-5,FLU,Flu ,
,6604-3,FLU,Flu ,
,XON10841-5,FLU,Flu A,
,XON13085-6,FLU,Flu ,
TR12566-6,,RSV_FLU,"Resipratory Virus, Multiplex",
,41852-5,RSV_FLU,"Resipratory Virus, Multiplex",
,6584-7,RSV_FLU,"Resipratory Virus, Multiplex",
,XON11922-2,RSV_FLU,"Resipratory Virus, Multiplex",
,XON12338-0,RSV_FLU,"Resipratory Virus, Multiplex",
TR12637-5,,RSV_FLU,"Resipratory Virus, Multiplex",
,11546-9,RSV_FLU,"Resipratory Virus, Multiplex",
,19146-0,RSV_FLU,"Resipratory Virus, Multiplex",
,41461-5,RSV_FLU,"Resipratory Virus, Multiplex",
,41852-5,RSV_FLU,"Resipratory Virus, Multiplex",
,50548-7,RSV_FLU,"Resipratory Virus, Multiplex",
,XON10312-7,RSV_FLU,"Resipratory Virus, Multiplex",
,XON10441-4,RSV_FLU,"Resipratory Virus, Multiplex",
,XON12338-0,RSV_FLU,"Resipratory Virus, Multiplex",
,XON12659-9,RSV_FLU,"Resipratory Virus, Multiplex",
,XON12663-1,RSV_FLU,"Resipratory Virus, Multiplex",
,XON12712-6,RSV_FLU,"Resipratory Virus, Multiplex",
,XON12722-5,RSV_FLU,"Resipratory Virus, Multiplex",
,XON12904-9,RSV_FLU,"Resipratory Virus, Multiplex",
,XON13542-6,RSV_FLU,"Resipratory Virus, Multiplex",
TR12770-4,,RSV_FLU,"Resipratory Virus, Multiplex",
,19146-0,RSV_FLU,"Resipratory Virus, Multiplex",
,41461-5,RSV_FLU,"Resipratory Virus, Multiplex",
,41852-5,RSV_FLU,"Resipratory Virus, Multiplex",
,XON10312-7,RSV_FLU,"Resipratory Virus, Multiplex",
,XON10441-4,RSV_FLU,"Resipratory Virus, Multiplex",
,XON10442-2,RSV_FLU,"Resipratory Virus, Multiplex",
,XON12338-0,RSV_FLU,"Resipratory Virus, Multiplex",
TR12633-4,,RSV_FLU,Flu A + Flu B + RSV,
,19146-0,RSV_FLU,Flu A + Flu B + RSV,
,31208-2,RSV_FLU,Flu A + Flu B + RSV,
,41461-5,RSV_FLU,Flu A + Flu B + RSV,
,6584-7,RSV_FLU,Flu A + Flu B + RSV,
,66746-9,RSV_FLU,Flu A + Flu B + RSV,
,XON10312-7,RSV_FLU,Flu A + Flu B + RSV,
,XON10441-4,RSV_FLU,Flu A + Flu B + RSV,
,XON10842-3,RSV_FLU,Flu A + Flu B + RSV,
,XON12338-0,RSV_FLU,Flu A + Flu B + RSV,
,XON12722-5,RSV_FLU,Flu A + Flu B + RSV,
TR_ANY,,RSV_FLU,Flu A + Flu B + RSV,
,XON13021-1,RSV_FLU,Flu A + Flu B + RSV,
TR11443-9,,RSV,RSV,
,19146-0,RSV,RSV,
,41852-5,RSV,RSV,
TR11772-1,,RSV,RSV,
,19146-0,RSV,RSV,
,31208-2,RSV,RSV,
,41852-5,RSV,RSV,
,6584-7,RSV,RSV,
,XON10312-7,RSV,RSV,
,XON10388-7,RSV,RSV,
,XON10441-4,RSV,RSV,
,XON11922-2,RSV,RSV,
,XON12338-0,RSV,RSV,
TR12264-8,,RSV,RSV,
,41852-5,RSV,RSV,
,XON12338-0,RSV,RSV,
TR_ANY,,RSV,RSV,
,14129-1,RSV,RSV,
,17520-8,RSV,RSV,
,30075-6,RSV,RSV A,
,30076-4,RSV,RSV B,
,31950-9,RSV,RSV,
,32040-8,RSV,RSV,
,33045-6,RSV,RSV,
,40987-0,RSV,RSV,
,40988-8,RSV,RSV,
,55100-2,RSV,RSV,
,5874-3,RSV,RSV,
,5876-8,RSV,RSV,
,50548-7,RSV,RSV,
,60271-4,RSV,RSV,
,XON13446-0,RSV,RSV A + RSV B,
